point ,geomorph_zone,potential_dist,TSR ,realTSR,Y-decimal,X-decimal,rad_raster,altitude_m,slope,logslope,aspect ,E,N,plan curvature,plan_num,profile_curv,profile_num,curvature DEM,stoniness_surf,stoniness_soil,veg_type,veg_cover,texture_class,sorting,sand fraction,pH_field,soil_class,SSD
M48 ,development,none,1888.6,122.4,46.44580556,9.9425,1093781,1930,5,0.698970004,344,-0.28,0.96,straight,2,straight,2,0,40,45,,60,sand,poor,coarse sand,5,humiskeletic leptosol,1.1
M49 ,development,debris flow,1897,114,46.44508333,9.942055556,1117990,1932,5,0.698970004,337,-0.39,0.92,straight,2,straight,2,-0.48,5,2,,95,sand,poor,coarse sand,5,humic leptosol,4.9
M50 ,development,debris flow,1900.1,110.9,46.44463889,9.94175,1082677,1936,7,0.84509804,247,-0.92,-0.39,concave,3,concave,3,0.16,10,10,,90,sand,poor,coarse sand,5,humic leptosol,0.9
M51 ,development,debris flow,1901.8,109.2,46.44433333,9.941722222,1111490,1937,0,0,,,,straight,2,concave,3,-0.48,20,5,,80,sand,poor,coarse sand,5,humic leptosol,1.9
M52 ,development,debris flow,1900.1,110.9,46.44441667,9.942194444,1024018,1938,15,1.176091259,290,-0.94,0.34,straight,2,straight,2,-0.48,60,50,,20,sand,poor,coarse sand,5.5,humiskeletic leptosol,1
T5,slope,,1987.1,23.9,46.40852778,9.859694444,949614.68750000000,2139,16,1.204119983,16,0.28,0.961261696,straight,2,straight,2,-0.48,95,15,,10,sand,poor,coarse sand,7.2,humic leptosol,2.55
T2 ,development,,1956.4,54.6,46.40922222,9.857861111,1197085.50000000000,2129,32,1.505149978,290,-0.94,0.342020143,convex,1,concave,3,0.16,40,25,,50,sand,poor,coarse sand,7.5,haplic leptosol,0.75
T1 ,development,,1955.6,55.4,46.40936111,9.85775,1197085.50000000000,2130,4,0.602059991,15,0.26,0.965925826,convex,1,convex,1,-0.16,15,20,,75,sandy loam/sand,poor,coarse sand,7.5,haplic leptosol,2.4
T3 ,development,,1956.9,54.1,46.40952778,9.858527778,1071990.37500000000,2122,0,0,,,,concave,3,concave,3,0.32,5,0,,15,sandy loam,very well,very fine,7.5,haplic leptosol,1
T4,fluvial,,1957.6,53.4,46.40952778,9.859611111,1207831.87500000000,2120,8,0.903089987,110,0.94,-0.342020143,straight,2,straight,2,-0.16,90,60,,0,sand,poor,coarse sand,7.8,skeletic leptosol,0
T38,,,1852.9,158.1,46.40955556,9.854555556,1182414.50000000000,2149,25,1.397940009,9,0.16,0.987688341,concave,3,concave,3,0,70,30,,30,sand,poor,coarse sand,7.2,humic leptosol,1.4
T37,development,,1852.9,158.1,46.40955556,9.854805556,1184552.62500000000,2149,15,1.176091259,102,0.98,-0.207911691,convex,1,convex,1,0.64,80,30,,20,sand,poor,medium sand,7.2,humic leptosol,2.1
T39,development,,1852.9,158.1,46.40975,9.854416667,1129412.62500000000,2147,20,1.301029996,28,0.47,0.882947593,convex,1,concave,3,-0.32,70,30,,30,sand,poor,coarse sand,7.2,humic leptosol,1.4
T18,development,,1940.4,70.6,46.41355556,9.859,1230631.25000000000,2105,6,0.77815125,282,-0.98,0.207911691,straight,2,concave,3,-0.32,70,25,,30,sand,poor,coarse sand,7,humic leptosol,2.25
